record_id,region_code,country_name,country_code,survey_acronym,reporting_year,reporting_level,survey_coverage,survey_year,welfare_type,survey_comparability,comparable_spell,poverty_line,headcount,poverty_gap,poverty_severity,watts,mean,median,mld,gini,polarization,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10,cpi,ppp,reporting_pop,reporting_gdp,reporting_pce,is_interpolated,distribution_type,estimation_type
1,NULL,Angola,AGO,HBS,2000,national,national,2000.21,consumption,0,2000,2.15,0.214088478,0.09140949,0.053332359,0.15103159,7.374365427,4.664529111,0.512576461,0.519568925,0.464340055,0.00983246,0.021953072,0.033424555,0.044953073,0.056627742,0.07048758,0.08808485,0.11349456,0.158686952,0.402455156,0.014199691,107.269989,16394062,1840.353828,NULL,0,micro,survey
2,SSA,Angola,AGO,IBEP-MICS,2008,national,national,2008.5,consumption,1,2008,2.15,0.146324873,0.040595238,0.016556321,0.05362786,6.51375181,4.694254736,0.311631502,0.42715515,0.39136525,0.020719663,0.033566886,0.043156064,0.053045704,0.06542602,0.079203565,0.096514471,0.122916981,0.162333307,0.323117339,0.303449123,107.269989,21691522,3061.636272,1216.312411,0,micro,survey
3,SSA,Angola,AGO,IDREA,2018,national,national,2018.17,consumption,2,2018,2.15,0.311220062,0.119325814,0.062557907,0.180664569,5.482150726,3.420550539,0.477889648,0.512721112,0.470981918,0.013295416,0.024280907,0.033328608,0.043429295,0.055842687,0.069813625,0.088687619,0.115687376,0.159390207,0.39624426,1.231023884,107.269989,31273533,2677.249833,1548.153535,0,micro,survey
4,ECA,Armenia,ARM,ILCS,2012,national,national,2012,consumption,1,"1999 - 2018",2.15,0.008322223,0.001569495,0.000515,0.001943014,7.527843458,6.372939945,0.145134855,0.296022614,0.236965272,0.037910872,0.052029095,0.061125911,0.070666416,0.080142405,0.090535205,0.10234464,0.117883109,0.141960132,0.245402216,0.888864237,167.3122101,2914421,3278.670451,2953.453311,0,micro,survey
5,ECA,Albania,ALB,EWS,1996,national,national,1996,consumption,0,1996,2.15,0.00534846,0.000982,0.000305,0.001203124,7.93315755,6.972102629,0.119104327,0.27010342,0.241293272,0.03863286,0.052893469,0.063786834,0.073220415,0.083796619,0.093549025,0.10823087,0.124738695,0.148995481,0.212155731,0.399635231,50.35737228,3168033,1633.552004,1716.336806,0,micro,survey
6,ECA,Albania,ALB,LSMS,2002,national,national,2002,consumption,1,"2002 - 2012",2.15,0.010926474,0.001894349,0.000594,0.002382839,8.108228792,6.688141411,0.1648116,0.317389798,0.268981639,0.034940018,0.048594442,0.05842059,0.06738204,0.076531024,0.088394595,0.102285851,0.119844287,0.149250783,0.254356369,0.701637002,50.35737228,3051010,2247.498086,1685.203083,0,micro,survey
7,ECA,Armenia,ARM,ILCS,2013,national,national,2013,consumption,1,"1999 - 2018",2.15,0.017382652,0.003448684,0.001148261,0.004276293,7.810947099,6.597412922,0.156559673,0.305796632,0.249916383,0.035644537,0.050604139,0.059788298,0.069036817,0.079268166,0.089882713,0.102579436,0.119255752,0.147085501,0.246854642,0.940326503,167.3122101,2901385,3402.083858,3017.291522,0,micro,survey
8,NULL,Albania,ALB,LSMS,2005,national,national,2005,consumption,1,"2002 - 2012",2.15,0.005910857,0.000897,0.000229,0.001042396,9.165974569,7.799791172,0.154412756,0.305956557,0.254528657,0.03482536,0.04920109,0.059772826,0.069211825,0.079881584,0.090370685,0.10372144,0.121264076,0.148339433,0.243411681,0.753957831,50.35737228,3011487,2675.508644,2079.20348,0,micro,survey
9,ECA,Armenia,ARM,ILCS,2014,national,national,2014,consumption,1,"1999 - 2018",2.15,0.014391431,0.00220828,0.000601,0.002632363,8.011235235,6.733072196,0.165166434,0.314832907,0.25187864,0.035163276,0.049332351,0.058507917,0.068098628,0.078561846,0.090061853,0.101938823,0.117772768,0.143122843,0.257439695,0.968360534,167.3122101,2889930,3538.529395,3077.428042,0,micro,survey
10,ECA,Albania,ALB,LSMS,2008,national,national,2008,consumption,1,"2002 - 2012",2.15,0.001999251,0.000396,0.0000869,0.000449,10.03816934,8.400199674,0.148893381,0.299846704,0.247311113,0.037336254,0.051367812,0.060884722,0.069835843,0.079120785,0.089241326,0.10298735,0.119290755,0.145352045,0.244583109,0.820114038,50.35737228,2947314,3298.478917,2820.279521,0,micro,survey
11,ECA,Albania,ALB,LSMS,2012,national,national,2012,consumption,1,"2002 - 2012",2.15,0.006206909,0.001308925,0.000452,0.001637725,9.517231461,8.240384965,0.138417068,0.289604846,0.249987921,0.03659527,0.05193095,0.061436438,0.070307257,0.080838326,0.092569426,0.105154552,0.122933011,0.148891373,0.229343396,0.91718275,50.35737228,2900401,3736.340089,2990.396606,0,micro,survey
12,ECA,Albania,ALB,HBS,2014,national,national,2014,consumption,2,"2014 - 2017",2.15,0.010231008,0.001387079,0.000267,0.001545265,10.14130988,8.295375496,0.198661566,0.345988965,0.324309702,0.028530039,0.041737672,0.052229129,0.063115987,0.075123732,0.089328596,0.105937027,0.127245381,0.161309213,0.255443224,0.95015539,50.35737228,2889104,3855.760754,3143.254134,0,micro,survey
13,ECA,Albania,ALB,HBS,2015,national,national,2015,consumption,2,"2014 - 2017",2.15,0.001206211,0.0000561,0.00000413,0.0000583,12.05537275,9.887382894,0.17549547,0.327537318,0.300363766,0.031544789,0.045467981,0.055664218,0.065794647,0.076200232,0.088862365,0.104740833,0.125232944,0.158698911,0.247793079,0.983422307,50.35737228,2880703,3952.803584,3189.705334,0,micro,survey
14,NULL,Albania,ALB,HBS,2016,national,national,2016,consumption,2,"2014 - 2017",2.15,0.001393032,0.000105,0.0000136,0.000113,12.54109311,10.28237192,0.187580582,0.337362987,0.314380354,0.029694057,0.043505156,0.054224177,0.064237668,0.075244323,0.088966629,0.105204964,0.127039856,0.161387622,0.250495546,0.979810025,50.35737228,2876101,4090.372739,3262.756967,0,micro,survey
15,NULL,Albania,ALB,SILC-C,2016,national,national,2016,income,4,"2016 - 2018",2.15,0.057951018,0.022118174,0.011319393,0.032486276,9.951971202,8.140220464,0.273739844,0.385656427,0.350360082,0.018381765,0.034833606,0.047921788,0.060813954,0.073580652,0.088626505,0.105739462,0.129129115,0.166303668,0.274669487,0.979810025,50.35737228,2876101,4090.372739,3262.756967,0,micro,survey
16,ECA,Armenia,ARM,ILCS,2015,national,national,2015,consumption,1,"1999 - 2018",2.15,0.011463601,0.002138461,0.000739,0.002696165,8.588196248,7.108039251,0.176379846,0.323567718,0.252997732,0.033778451,0.048434927,0.057697177,0.067948465,0.078112424,0.089203534,0.101540288,0.116435119,0.139499051,0.267350564,1.004496767,167.3122101,2878595,3666.141825,2856.50545,0,micro,survey
17,ECA,Albania,ALB,HBS,2017,national,national,2017,consumption,2,"2014 - 2017",2.15,0.003925699,0.000388,0.0000549,0.000419,12.41121895,10.18766878,0.179908465,0.330556627,0.308522265,0.030905286,0.044599427,0.054776052,0.06508123,0.07604976,0.089083971,0.105392621,0.127178869,0.160808483,0.246124301,1,50.35737228,2873457,4249.820061,3345.556254,0,micro,survey
18,LAC,Argentina,ARG,EPH,1987,urban,urban,1987,income,0,"1980 - 1991",2.15,0.011860859,0.008901203,0.008189007,0.001221502,32.14556881,22.35961437,0.36997058,0.452763661,0.410319972,0.015614527,0.03014508,0.041189122,0.051935681,0.063426431,0.077236066,0.095135309,0.119485012,0.163313876,0.342518896,0.03254866,10.80793953,26797140,9507.339813,NULL,0,micro,survey
19,ECA,Armenia,ARM,ILCS,2016,national,national,2016,consumption,1,"1999 - 2018",2.15,0.011079466,0.001524025,0.000436,0.001858143,9.041171659,7.711447343,0.180756448,0.325479484,0.274993236,0.032654044,0.045862516,0.05517626,0.065972254,0.07896745,0.091478313,0.105742717,0.122611071,0.148718766,0.252816608,0.990397565,167.3122101,2865835,3689.830085,2811.084458,0,micro,survey
20,ECA,Albania,ALB,SILC-C,2017,national,national,2017,income,4,"2016 - 2018",2.15,0.05264806,0.017958083,0.008754278,0.02568241,10.41101439,8.704905449,0.25417493,0.370951267,0.332536624,0.018976139,0.036430115,0.050108947,0.063291839,0.076491535,0.090737506,0.106486612,0.129021163,0.163922511,0.264533633,1,50.35737228,2873457,4249.820061,3345.556254,0,micro,survey
21,ECA,Armenia,ARM,ILCS,2017,national,national,2017,consumption,1,"1999 - 2018",2.15,0.007856546,0.001338667,0.000355,0.001572933,8.796435703,6.969825454,0.190806547,0.336218374,0.251900255,0.034969793,0.048820371,0.057711908,0.065917413,0.074606788,0.084504504,0.096109807,0.113325617,0.14034515,0.283688647,1,167.3122101,2851923,3985.916702,3219.429966,0,micro,survey
